id,kode_provinsi,nama_provinsi,umur,jenis_kelamin,jumlah_kepala_keluarga,satuan,tahun
122,32,JAWA BARAT,50-54,PEREMPUAN,337807,KEPALA KELUARGA,2020
123,32,JAWA BARAT,55-59,LAKI-LAKI,1090602,KEPALA KELUARGA,2020
124,32,JAWA BARAT,55-59,PEREMPUAN,351772,KEPALA KELUARGA,2020
125,32,JAWA BARAT,60-64,LAKI-LAKI,864700,KEPALA KELUARGA,2020
126,32,JAWA BARAT,60-64,PEREMPUAN,356039,KEPALA KELUARGA,2020
127,32,JAWA BARAT,65-69,LAKI-LAKI,576939,KEPALA KELUARGA,2020
128,32,JAWA BARAT,65-69,PEREMPUAN,285528,KEPALA KELUARGA,2020
129,32,JAWA BARAT,70-74,LAKI-LAKI,318179,KEPALA KELUARGA,2020
130,32,JAWA BARAT,70-74,PEREMPUAN,215664,KEPALA KELUARGA,2020
131,32,JAWA BARAT,> 75,LAKI-LAKI,340430,KEPALA KELUARGA,2020
132,32,JAWA BARAT,> 75,PEREMPUAN,284300,KEPALA KELUARGA,2020
133,32,JAWA BARAT,15-19,LAKI-LAKI,21222,KEPALA KELUARGA,2021
134,32,JAWA BARAT,15-19,PEREMPUAN,18712,KEPALA KELUARGA,2021
135,32,JAWA BARAT,20-24,LAKI-LAKI,324761,KEPALA KELUARGA,2021
136,32,JAWA BARAT,20-24,PEREMPUAN,93365,KEPALA KELUARGA,2021
137,32,JAWA BARAT,25-29,LAKI-LAKI,1081362,KEPALA KELUARGA,2021
138,32,JAWA BARAT,25-29,PEREMPUAN,162454,KEPALA KELUARGA,2021
139,32,JAWA BARAT,30-34,LAKI-LAKI,1467156,KEPALA KELUARGA,2021
140,32,JAWA BARAT,30-34,PEREMPUAN,186521,KEPALA KELUARGA,2021
141,32,JAWA BARAT,35-39,LAKI-LAKI,1752130,KEPALA KELUARGA,2021
142,32,JAWA BARAT,35-39,PEREMPUAN,243611,KEPALA KELUARGA,2021
143,32,JAWA BARAT,40-44,LAKI-LAKI,1719941,KEPALA KELUARGA,2021
144,32,JAWA BARAT,40-44,PEREMPUAN,281878,KEPALA KELUARGA,2021
145,32,JAWA BARAT,45-49,LAKI-LAKI,1629763,KEPALA KELUARGA,2021
146,32,JAWA BARAT,45-49,PEREMPUAN,321865,KEPALA KELUARGA,2021
147,32,JAWA BARAT,50-54,LAKI-LAKI,1406589,KEPALA KELUARGA,2021
148,32,JAWA BARAT,50-54,PEREMPUAN,341132,KEPALA KELUARGA,2021
149,32,JAWA BARAT,55-59,LAKI-LAKI,1122729,KEPALA KELUARGA,2021
150,32,JAWA BARAT,55-59,PEREMPUAN,360659,KEPALA KELUARGA,2021
151,32,JAWA BARAT,60-64,LAKI-LAKI,875255,KEPALA KELUARGA,2021
152,32,JAWA BARAT,60-64,PEREMPUAN,359034,KEPALA KELUARGA,2021
153,32,JAWA BARAT,65-69,LAKI-LAKI,601333,KEPALA KELUARGA,2021
154,32,JAWA BARAT,65-69,PEREMPUAN,300749,KEPALA KELUARGA,2021
155,32,JAWA BARAT,70-74,LAKI-LAKI,334583,KEPALA KELUARGA,2021
156,32,JAWA BARAT,70-74,PEREMPUAN,222588,KEPALA KELUARGA,2021
157,32,JAWA BARAT,> 75,LAKI-LAKI,353266,KEPALA KELUARGA,2021
158,32,JAWA BARAT,> 75,PEREMPUAN,314572,KEPALA KELUARGA,2021
